package_name,weekly_downloads
SIESTAstepper,3
openstack-placement,407
piespro,1
levenshtein-coding,6
sqapy,0
tornado-tryton,0
pykallisto,1
RandomUsers,2
full-apply,2
odoo12-addon-stock-pull-list,3
cached-conv,198
baselib,25
openstack-publicdns,2
mosec,183
ebs-linuxnode-gui-kivy-netconfig,1
teaching-tools,28
pykalman,16864
ruth-text-to-speech,16
ruth-tts-converter-python,0
FullContact-AIO,0
openstacksdk,99377
teachpyx,2
ebs-linuxnode-rpi-omxplayer,1
greengrass-sod,0
sq-blocks,3987
jsm-user-services,457
pytest-qml,17
accessiontk,10
fullcontacter,3
APIFuzzer,77
moseley,6
pietoolbelt,0
Levenshtein-search,6841
sqbrite,2
tornado-webservices,89
openstacksdk-plugin,0
dimitar-test,0
pykantorovich,98
GreenHouseEI,1
sifcoin-hash,1
django-saber,0
moses-crossval,1
ebs-pin,2
dimod-cache,3
worldometer-scraper,0
sqdb,1
sifflet,153
leveropen,0
sifreader,7
cached-properties,127
django-safari-notifications,1
MattsSuperHelloWorld,0
jsonargon,0
torstomp,8
rankcomp,1
aping,0
ecasbot,7
odoo12-addon-website-media-size,0
json-array-file,0
sqlalchemy-dict,298
lfc-blog,0
torswitch,4
rws-ddlpy,204
Mother,1
grepedit,0
funcmeasure,8
piicodev,22
ng.app.remotefs,2
rankedlist,0
cmdb-supplement-syncpack,0
opentelemetry-instrumentation-aiopg,4468
sqlalchemy-django,0
jsonasobj,2089
ecatdump,0
funcModule,0
acdh-django-handle,26
rws-knmi-lib,5
opentelemetry-instrumentation-asgi,266465
lfcnn,2
apininja,34
pykickstart,692
django-schema-graph,5374
torta,0
cmdbuild-soap-api,0
vault-certificate-deploy,18
ng.app.rubricator,0
cada-dash-custom-radioitems,0
motherjokes,16
piicrgmms,1
signalbot,21
wpadmin,1
signalbus,15
torthrift,15
django-schools-hashtag-learning,0
opentelemetry-instrumentation-boto,30920
mothermayi-isort,7
cadati,456
jsonast,0
odoo12-addon-website-odoo-debranding,1
ctw,0
bashparser,258
pii-data-generator,5
iconostasis,0
grepg,1
sqlalchemy-dlock,514
vault-crio,0
cmdcache,1
puer,0
pytest-shell,1701
dinohub-seedwork-be,172
tec,4
tortik,379
fastdbc,1
django-scientific,1
lfc-theme,6
ng.app.skinswitch,0
maxcolor,2
opentelemetry-instrumentation-boto3sqs,8487
signal-cli,7
rankeval,51
acdh-django-transkribus,42
rwspider,0
PyKill,0
ecbxrate,0
apio-django,0
sqlalchemy-dm,4
grepimports,1
wpapi,1
jsonata,248
odoo12-addon-website-portal-contact,36
tortilla,1868
odoo12-addon-website-recaptcha-reloaded,0
pii-extract,5
tecan-od-analyzer,0
cadbiom-cmd,0
DinoMint,2
MotherNature,0
cmd-call-graph,0
jsonate,1
pytest-sheraf,14
pueuey,0
CTWC520625,2
vault-dec,6
icon-resize,1
NGAsubGMM,2
fastdbfs,1
opentelemetry-instrumentation-celery,61813
py-kim,227
rankfields,0
acdh-django-zotero,25
django_scim,1
lfdnn,0
ng.base.form,0
FastDebugger,12
opentelemetry-instrumentation-digma-django,18
django-scoped-rbac,0
cadcadgolem,1
rankgun,13
bashpy-SaracenRhue,1
vaulter-py,0
wpa_supplicant,56
pykindler,0
pytest-simplehttpserver,13
cadCAD-legacy-devel,1
pufferlib,16
pykinect-azure,77
grep-result,0
fastdeploy,44
django-scrapy,1
pytest-tipsi-testing,126
mayank-dist,0
signingscript,10
echo-logger,9
acid.senza.templates,123
vca-cli,0
pulpitum,0
FunctionScaler,1
vc-algo,0
sqlalchemy-pg-fts,38
pytest-tmp-files,125
direct_client,4
open-usp-tukubai,4
signit,1
lhereader,6
functions-cli,1
jsoneng,6
vcam,138
apitax,1
directdm,4
directedgraph,1
openvario-compman,4
pyKStroke,0
CAGMon,1
cmeel-tinyxml,1440
ryu,1198
lhModule,1
json_environ,26
Motor-imagery-ge,1
signpic,1
cubicweb-card,98
motorisedcameratracking,6
odoo13-addon-account-fiscal-month,3
DirectGuiDesigner,0
motorlib,1
rapidsms-xforms,3
cagri-durgut-cs453,0
signposting,2
wrangl,1
cubicweb-ckanpublish,0
pillar-youtube-upload,63
ngrok-pdb,2
pulp-ostree-client,248
basicprogressbar,4
django-senex-shop,10
maya-toolbar,3
motormtp22peng,0
rapidsms-xray,0
gridnet-learn,7
rapidsouppdf,0
odoo13-addon-account-fiscal-position-rule-purchase,0
openvas_to_report,3
cubicweb-cmcicpay,0
fastgac,4
mayavoz,21
odoo13-addon-account-fiscal-year,72
signtest,1
pyktx2,0
cubicweb-codenaf,0
ngrp,0
Pillow3f,58
basicpublisher,1
django-sentrylogs,0
ApiTestFramework,1
json-extensions,58
Cahoots,0
cubicweb-collaboration,0
maybe,7
fastgen,4
sqlalchemy-pysqlite3-binary,13
id-builder,155
vcclick,3
openvino-arm,4
cubicweb-condor,1
vcc-py,1
lhutils,0
pykubeks,35
wrapanapi,494
ng.schema,0
django-seo-admin,0
fastgenomics,3
pytest-trytond,22
maybe-else,30670
sqlalchemy-pytest,1
caict-silicon-photonics-test,0
touchstone,817
cmemsapi,32
sqlalchemy-qubole,223
directord,126
pillowfluff,0
vcd-cli,358
sigopt,7855
cubicweb-dataio,0
pykuda2,16
fastget,10
maydist,1
pytest-tst,7
pulsar,300
idc-corner-detection,0
tee-output,19
cubicweb-document,1
rz-color-lite,0
django-sequences,13243
ngsgui,1
api_toolkit,0
basic-sdk,1
pulsar-cli,0
directory-client-core,907
Pillow-SIMD,16958
wrap-exception,1
fastgpu,0
pulumi-terraform,396
toyblock,6
fast-manager,1
pineapple-spark,12
toybox,3
batch-resize,4
funniest_ltp,0
sqlformatter,20
toybox-envs,0
fast-marching-square,1
oplra-reg,0
vdk-control-api-auth,668
calc-plus,0
silva.searchandreplace,0
idissend,1
calcprimenumbers,1
s3manage,0
libcredit.py,0
jsonpath-ng,4033251
discgen,0
cufflinks,36223
FastMBAR,1
s3-memoize,11
silva.security.renameusers,0
vdk-dag,110
django-shortuuidfield,2806
pythapi,0
pulumiverse-harbor,11
dischook,0
ecp-api,0
sqlhandler,16
s3-module-loader,0
movyonfem,0
vdk-ingest-file,215
S3MPython,3
grolt,0
fast-microservice,0
wsadmin-type-hints,23
vdk-ipython,14
silver,1
opMysql,2
Toynet,1
funniest-tafpa123,2
pines,4
pythclient,1928
django-showurls,2
silvera,1
pulumi-vsphere,782
calc_SB,0
nicefid,22
pineworkslabs,0
jsonpipe,1
vdk-lineage,18
pulumi-wavefront,359
nice-figures,2
odoo13-addon-base-tier-validation-formula,3
ecquote,11
pulumi-wordle,2
fastMONAI,54
ecr2ecr,0
sqlight,11
cuid,7715
wsa-shopee-services-protocol,3
act_as_executable,3
libcx,0
toypackage,0
funniestv1,0
mowuchen-pkg-mowuchen,0
cmsplugin-link-extended,0
opni-proto,117
ws-benchmark,1
fastmri,55
pinform,1
MowzFinder,2
grond,5
ActDeact,5
s3-obj-semver,0
vdk-plugin-control-cli,335
libdct,0
rasis,0
puma-hep,72
jsonpointer,3686441
cmsplugin-markdownx,3
sqlineage,4
ws-callbacks,0
calcu,49
nicelog,252
fastmvc,9
pylcp,10
discoart,300
wscelery,2
django-signalcontrol,79
GroopM,0
MC6809,17
cuitools,1
ecr-lifecycle,0
funnny,0
mcaapi,1
appcli,1
lib-detect-testenv,21507
pingdat,2
idletypecheck,4
actfw-raspberrypi,34
sqlitalk,0
ws-cli-chat,59
moxy,1
sqlite3-api,280
s3pip,0
django-signals-ahoy,61
vdna,16
sact.epoch,0
GRR-M2Crypto,4
IFConnectOld,0
tquery,0
json-traverse,238
simonski-pycommon,11
ifconverter,0
discord-oauth2.py,15
libK,0
tellcore-net,321
odoo13-addon-hr-employee-service-contract,0
currencypairs,0
cnrpc,1
FastTextRank,1
veikkaaja,4
Optimized-Kalman-Filter,12
edc-pdf-reports,928
wspy,0
tr1regex,0
currency-symbols,6438
optimize-images,239
django-sitesutils,48
cn-sentiment-measures,1
rav,65
discordplus,20
wsql_sdk,1
fasttext-serving-server,0
SQLShare-client,0
discord-port,0
fasttext-wheel,94247
tr55,1
pip-command,22
ravbar,3
discord-profile-search,0
mcp990x,1
adafruit-circuitpython-as7341,207
fuzzer-cov,8
simp-AES,0
optimizely-cli,1
p.url,0
grt,2
fast-tmp,161
mpg-cloud,18
wsrLab-demo,0
tellmewhen,2
trabalho-de-gces,2
bayo-sanity-automated,2
edc-reference,632
wsrouter,0
tell-me-your-secrets,42
jsonurl-py,88
puro,0
django-six,5083
pylibwrite,0
discord.pyaio,1
fuzzingbook,988
pipcook-tvm,1
raveberry-visualization,0
sqlstar,0
tello-binom,23
libLemon,0
nikitapdf,1
django-sizedimagefield,0
rave-dl,2
ifile,2
grub2-theme-preview,44
simpcass,8
optimize-tensorrt,0
mpho,0
bayrell-lang,1
sqlstrings,64
fuzzly,11
odoo13-addon-hr-leave-hour,0
grubhub,2
adafruit-circuitpython-bitmap-font,381
cnspy-numpy-utils,2
odoo13-addon-hr-org-chart-overview,0
ifilters,0
simp-distributions,0
jsonvalidate,5
sadie-antibody,85
AppNexus-client,4683
edc-search,584
mphyspy,5
tellolib,12
optimizr,3
django-skillflux,3
wssh,19
appnope,363494
california-house-price-predictor-7606,1
django-skins,0
cnspy-timestamp-association,0
ws-sheets-server,6
sqltap-ng,0
mcping,6
django-skote,11
nikol,1
pipdatedd,1
wss-plugin,74
purplship,2
trabalho-individual-2022-2-gces,14
discordpy-legacy,1
vellum,10
simpel-discuss,0
django-skyscanner,1
purplship.boxknight,0
iflearner-flow-client,1
lib-LSM,1
purplship.dhl-universal,7
adafruit-circuitpython-bluefruitconnect,183
saeki_nester2,0
appomatic_django_filer,2
simplechinese,3
fbbotw,7
edition,16
ig-rest-client,0
verificac19,1
razzpy,0
sr,215
disk,1075
gsmls,0
oracula,2
custom-nlu-vivekc95,0
mdbl,0
sage-docbuild,127
mprov-mash,6
pylitejet,740
